participantnumbers,Infantage,sex,priorexpt,angry_dt_infancy,fearful_dt_infancy,happy_dt_infancy,nonface_dt_infancy,angry_dtntrial_infancy,fearful_dtntrial_infancy,happy_dtntrial_infancy,nonface_dtntrial_infancy,dtntrial_infancy_min,angry_dt_3yr,fearful_dt_3yr,happy_dt_3yr,nonface_dt_3yr,angry_dtntrial_3yr,fearful_dtntrial_3yr,happy_dtntrial_3yr,nonface_dtntrial_3yr,dtntrial_3yr_min,AngryHappy_dt_ratio_3yr,FearfulHappy_dt_ratio_3yr,AngryHappy_sl_ratio_3yr,FearfulHappy_sl_ratio_3yr,AngryHappy_dt_ratio_infancy,FearfulHappy_dt_ratio_infancy,AngryHappy_sl_ratio_infancy,FearfulHappy_sl_ratio_infancy,DifferentERPscores,AngryHappy_P400amp_ratio_infancy,FearHappy_P400amp_ratio_infancy,AngryHappy_P400lat_ratio_infancy,FearHappy_P400lat_ratio_infancy,AngryHappy_Ncamp_ratio_infancy,FearHappy_Ncamp_ratio_infancy,AngryHappy_N290lat_ratio_infancy,FearHappy_N290lat_ratio_infancy,AngryHappy_N290amp_ratio_infancy,FearHappy_N290amp_ratio_infancy,AngryHappy_P400amp_ratio_3yr,FearHappy_P400amp_ratio_3yr,AngryHappy_P400lat_ratio_3yr,FearHappy_P400lat_ratio_3yr,AngryHappy_Ncamp_ratio_3yr,FearHappy_Ncamp_ratio_3yr,AngryHappy_N290lat_ratio_3yr,FearHappy_N290lat_ratio_3yr,AngryHappy_N290amp_ratio_3yr,FearHappy_N290amp_ratio_3yr
1,5,1,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,5,0,1, , , , , , , , ,0,.319869,.455419,.26107,.30678,3,4,6,3,3,.101213724676773,.271251896400363,.0629630810074224,.181734085249399, , , , , , , , , , , , , , , , , , , , , , , , , 
3,5,0,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,5,1,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,5,0,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,5,1,1, , , , , , , , ,0,.61748,.2937,.19907,.39173,2,2,6,4,2,.512411977221236,.19203685289283,.0455960422167138,.111893250208526, , , , , , , , , , , , , , , ,-.186148146094927,-.241903029833998,.0899873257287706,-.046138902379796,-.104677419354839,-.39880182449452,.00404858299595142,-.0456960680127524,.00428181387710688,.0288213039846706
8,7,1,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,7,1,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , ,.121635882777685,.0696763040831934,.0598200105876125,.0446476600322754,.00827816424146696,.0740977022914335,-.00647948164146868,-.0737327188940092,-.252136289886425,-.270524190007902, , , , , , , , , , 
10,7,0,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,7,1,1, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
